"Date","Particulars","Party GSTIN/UIN","Vch Type","Vch No.","Taxable Amount","IGST","CGST","SGST/UTGST","Cess","Tax Amount","CostCentre","Sales Invoice Date","Sales Invoice No.","Sales Party","Supplier Invoice No.","Supplier Invoice Date","Invoice Match Key","Sales Status"
"2026-06-01","ABSOLUTE NETWORKS PVT LTD","27AACCA8088R1ZT","Purchase","321/26-27",162000.00,0.00,14580.00,14580.00,0.00,29160.00,,,,,"ANPL-26-27-003374","2026-06-01","ANPL2627003374","COST CENTRE NOT ALLOCATED"
"2026-06-01","ABSOLUTE NETWORKS PVT LTD","27AACCA8088R1ZT","Purchase","320/26-27",198000.00,0.00,17820.00,17820.00,0.00,35640.00,,,,,"ANPL-2627-002326","2026-05-01","ANPL2627002326","COST CENTRE NOT ALLOCATED"
"2026-06-01","ADANI FORWARDING AGENT PRIVATE LIMITED","24AAECB3981A1Z3","Purchase","349/26-27",2400.00,432.00,0.00,0.00,0.00,432.00,"IC 2998/25",,,,"F/AS/I/F27/00687","2026-04-10","FASIF2700687","SALES BILL PENDING"
"2026-06-01","ADANI FORWARDING AGENT PRIVATE LIMITED","24AAECB3981A1Z3","Purchase","350/26-27",1200.00,216.00,0.00,0.00,0.00,216.00,"IC 0083/26","2026-06-09","S/21/A/26-27","CELLO WORLD LTD","F/AS/I/F27/03466","2026-05-14","FASIF2703466","SALES BILL FOUND"
"2026-06-01","DIVVYA CPP PRIVATE LIMITED","27AAICD1745L1ZE","Purchase","476/26-27",6250.00,0.00,562.50,562.50,0.00,1125.00,"EX 0065/26","2026-06-18","1055/A/26-27","LINK LOGISTICS","CPP/26-27/11670","2026-06-01","CPP262711670","SALES BILL FOUND"
"2026-06-01","IMPEX CLEARING SERVICES PRIVATE LIMITED","23AACCI2614P1ZL","Purchase","427/26-27",4600.00,828.00,0.00,0.00,0.00,828.00,"PEX","2026-06-11","939/A/26-27","LARSEN & TOUBRO LIMITED - PITHAMPUR","ICD-0238/26-27","2026-05-28","ICD02382627","SALES BILL FOUND"
"2026-06-01","IMPEX CLEARING SERVICES PRIVATE LIMITED","23AACCI2614P1ZL","Purchase","429/26-27",4600.00,828.00,0.00,0.00,0.00,828.00,"PEX","2026-06-11","939/A/26-27","LARSEN & TOUBRO LIMITED - PITHAMPUR","ICD-0239/26-27","2026-05-28","ICD02392627","SALES BILL FOUND"
"2026-06-01","IMPEX CLEARING SERVICES PRIVATE LIMITED","23AACCI2614P1ZL","Purchase","428/26-27",9100.00,1638.00,0.00,0.00,0.00,1638.00,"PEX","2026-06-11","939/A/26-27","LARSEN & TOUBRO LIMITED - PITHAMPUR","ICD-0240/26-27","2026-05-28","ICD02402627","SALES BILL FOUND"
"2026-06-01","IMPEX CLEARING SERVICES PRIVATE LIMITED","23AACCI2614P1ZL","Purchase","430/26-27",4600.00,828.00,0.00,0.00,0.00,828.00,"PEX","2026-06-11","939/A/26-27","LARSEN & TOUBRO LIMITED - PITHAMPUR","ICD-0241/26-27","2026-05-28","ICD02412627","SALES BILL FOUND"
"2026-06-01","IMPEX CLEARING SERVICES PRIVATE LIMITED","23AACCI2614P1ZL","Purchase","431/26-27",3100.00,558.00,0.00,0.00,0.00,558.00,"PEX","2026-06-11","939/A/26-27","LARSEN & TOUBRO LIMITED - PITHAMPUR","ICD-0242/26-27","2026-05-28","ICD02422627","SALES BILL FOUND"
"2026-06-01","India Advantage Securities Pvt. Ltd","27AADCP5317M1Z5","Purchase","306/26-27",215000.00,0.00,19350.00,19350.00,0.00,38700.00,,,,,"MH0626SVA0000002","2026-06-01","MH0626SVA0000002","COST CENTRE NOT ALLOCATED"
"2026-06-01","MARATHA CARGO MOVERS","","Purchase","423/26-27",24400.00,0.00,0.00,0.00,0.00,0.00,"IC 0316/26","2026-06-08","856/26-27","APEX INOX ENTERPRISES","11052","2026-06-01","11052","SALES BILL FOUND"
"2026-06-01","MUMBAI PORT TRUST - GATE PASS","27AAATM5001D1Z6","Purchase","589/26-27",39.00,0.00,3.51,3.51,0.00,7.02,,,,,"2627ACO000050902","2026-06-01","2627ACO000050902","COST CENTRE NOT ALLOCATED"
"2026-06-01","MUMBAI PORT TRUST - GATE PASS","27AAATM5001D1Z6","Purchase","590/26-27",13.00,0.00,1.17,1.17,0.00,2.34,,,,,"2627ACO000050966","2026-06-01","2627ACO000050966","COST CENTRE NOT ALLOCATED"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","324/26-27",3045.80,548.24,0.00,0.00,0.00,548.24,"CH 0561/25",,,,"GST-00110-26-27","2026-04-03","GST001102627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","325/26-27",2660.00,478.80,0.00,0.00,0.00,478.80,"CH 0546/25",,,,"GST-01049-26-27","2026-04-18","GST010492627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","326/26-27",26270.20,4728.64,0.00,0.00,0.00,4728.64,"CH 0008/26",,,,"GST-01250-26-27","2026-04-22","GST012502627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","327/26-27",3745.00,674.10,0.00,0.00,0.00,674.10,"CH 0009/26",,,,"GST-01256-26-27","2026-04-22","GST012562627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","328/26-27",2950.95,531.17,0.00,0.00,0.00,531.17,"CH 0012/26",,,,"GST-01445-26-27","2026-04-25","GST014452627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","329/26-27",3745.00,674.10,0.00,0.00,0.00,674.10,"CH 0016/26",,,,"GST-01448-26-27","2026-04-25","GST014482627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","330/26-27",17450.00,3141.00,0.00,0.00,0.00,3141.00,"CH 0527/25",,,,"GST-01454-26-27","2026-04-25","GST014542627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","323/26-27",90600.00,16308.00,0.00,0.00,0.00,16308.00,"CH 0031/26","2026-06-12","957/A/26-27","LARSEN & TOUBRO LTD. (COIMBATORE)","GST-02762-26-27","2026-05-13","GST027622627","SALES BILL FOUND"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","331/26-27",13100.00,2358.00,0.00,0.00,0.00,2358.00,"CH 0044/26",,,,"GST-03295-26-27","2026-05-19","GST032952627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","332/26-27",15700.00,2826.00,0.00,0.00,0.00,2826.00,"CH 0040/26",,,,"GST-03304-26-27","2026-05-19","GST033042627","SALES BILL PENDING"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","335/26-27",30000.00,5400.00,0.00,0.00,0.00,5400.00,,,,,"GST-03531-26-27","2026-05-21","GST035312627","COST CENTRE NOT ALLOCATED"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","334/26-27",2645.05,476.11,0.00,0.00,0.00,476.11,"CH 0050/26","2026-06-12","958/26-27","LARSEN AND TOUBRO LIMITED, LT ENERGY HYDROCARBON - HPCL RUF","GST-03756-26-27","2026-05-23","GST037562627","SALES BILL FOUND"
"2026-06-01","PARAMOUNT SHIPPING SERVICES PVT LTD.","33AAECP5649R1ZQ","Purchase","333/26-27",4000.00,720.00,0.00,0.00,0.00,720.00,"CHEX 0005/26","2026-06-12","956/A/26-27","LARSEN & TOUBRO LIMITED - LTSB","GST-04315-26-27","2026-06-01","GST043152627","SALES BILL FOUND"
"2026-06-01","RBG ENTERPRISES","27ABCFR2127A1ZR","Purchase","606/26-27",260.00,0.00,6.50,6.50,0.00,13.00,,,,,"3251","2026-06-01","3251","COST CENTRE NOT ALLOCATED"
"2026-06-01","RYSUN LABS PRIVATE LIMITED","24AADCK2319L1ZM","Purchase","426/26-27",25000.00,4500.00,0.00,0.00,0.00,4500.00,,,,,"RL-2627-051","2026-05-25","RL2627051","COST CENTRE NOT ALLOCATED"
"2026-06-01","RYSUN LABS PRIVATE LIMITED","24AADCK2319L1ZM","Purchase","308/26-27",150000.00,27000.00,0.00,0.00,0.00,27000.00,,,,,"RL-2627-057","2026-05-31","RL2627057","COST CENTRE NOT ALLOCATED"
"2026-06-01","SHREE MARUTI INTEGRATED LOGISTICS LIMITED","27AABCM9407D2ZL","Purchase","312/26-27",10667.40,0.00,960.07,960.07,0.00,1920.14,,,,,"2627/271892/0055","2026-04-30","26272718920055","COST CENTRE NOT ALLOCATED"
"2026-06-01","SHREE MARUTI INTEGRATED LOGISTICS LIMITED","27AABCM9407D2ZL","Purchase","382/26-27",7488.80,0.00,673.99,673.99,0.00,1347.98,,,,,"2627/271892/0103","2026-05-31","26272718920103","COST CENTRE NOT ALLOCATED"
"2026-06-01","SPEEDY MULTIMODES LTD.","27AABCS4966R1ZH","Purchase","311/26-27",132000.00,0.00,11880.00,11880.00,0.00,23760.00,"EX 0047/26",,,,"EPI000153/26-27S","2026-06-01","EPI0001532627S","SALES BILL PENDING"
"2026-06-01","SPEEDY MULTIMODES LTD.","27AABCS4966R1ZH","Purchase","309/26-27",52000.00,0.00,4680.00,4680.00,0.00,9360.00,"EX 0067/26",,,,"EPI000154/26-27S","2026-06-01","EPI0001542627S","SALES BILL PENDING"
